,moduleCode,title,semesters
0,ABM5001,Leadership in Biomedicine,[2]
1,ABM5002,Advanced Biostatistics for Research,[2]
2,ABM5003,Biomedical Innovation & Enterprise,[1]
3,ABM5004,Capstone Project,"[1, 2]"
4,ABM5101,Applied Immunology,[1]
5,ABM5102,Vaccine development and its modern applications,[1]
6,ABM5103,Advanced technologies in immune therapeutic development,[1]
7,ABM5104,Microbiome-Aging-Immunity crosstalk,"[1, 2]"
8,ABM5105,Drugs used in Infectious Diseases,[1]
9,ABM5106,Anticancer Therapeutics,[2]
10,ABM5107,"One World, One Health: Ecosystems, Animals and Us",[1]
11,AC5001,Architectural History of Singapore,[1]
12,AC5002,Conservation Approaches and Philosophies,[1]
13,AC5004,Architectural Heritage Management,[2]
14,AC5007,Dissertation,"[1, 2]"
15,AC5008,Design for Conservation,[2]
16,AC5009,Design for Adaptive Reuse,[1]
17,AC5010,Historic Buildings Survey and Recording,[2]
18,AC5011,Conservation of C20th Buildings,[1]
19,AC5012,Practical Building Conservation Skills,[2]
20,AC5014,Internship,"[1, 2]"
21,AC5016,Critical Heritage Approach to Conservation and Place,[2]
22,ACC1701A,Accounting for Decision Makers,"[1, 2]"
23,ACC1701B,Accounting for Decision Makers,"[1, 2]"
24,ACC1701C,Accounting for Decision Makers,"[1, 2]"
25,ACC1701D,Accounting for Decision Makers,[1]
26,ACC1701X,Accounting for Decision Makers,"[1, 2]"
27,ACC2706,Managerial Accounting,"[1, 2]"
28,ACC2707,Corporate Accounting & Reporting I,"[1, 2]"
29,ACC2708,Corporate Accounting & Reporting II,"[1, 2]"
30,ACC2709,Accounting Information Systems,"[1, 2]"
31,ACC3701,Assurance and Attestation,"[1, 2]"
32,ACC3702,Corporate and Securities Law,"[1, 2]"
33,ACC3703,Taxation,"[1, 2]"
34,ACC3704,Advanced Corporate Accounting and Reporting,"[1, 2]"
35,ACC3705,Valuation,"[1, 2]"
36,ACC3706,"Governance, Risk Management and Sustainability","[1, 2]"
37,ACC3707,Integrated Perspectives in Accounting and Business,"[1, 2]"
38,ACC3715,Accounting Analytics and AI,[2]
39,ACC3717,Carbon Accounting and Management,[2]
40,ACC4711,Advanced Taxation,"[1, 2]"
41,ACC4712,Forensic Accounting,"[1, 2]"
42,ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,[1]
43,ACC4751,Advanced Independent Study in Accounting,[1]
44,ACC4752,Advanced Independent Study in Accounting (2 MCs),[1]
45,ACC4761A,Seminars in Accounting: Internal Audit,[2]
46,ACE5401,Approaches to Arts & Cultural Entrepreneurship,[2]
47,ACE5402,Final Year Project,[2]
48,ACE5403,Internship,"[3, 4]"
49,ACE5404,Heritage: Peoples and Institutions,[1]
50,ACE5405,Cultural Industries and the Law,[2]
51,ACE5406,Arts Business,"[1, 2]"
52,ACE5407,"Museums, Exhibitions and the Curatorial","[1, 2]"
53,ACE5408,Managing Cultural Events,[2]
54,ACE5409,Arts Research and Social Practice,"[1, 2]"
55,ACE5410,Cultural Diplomacy and Intelligence,"[1, 2]"
56,ACE5411,Cultural Analytics and Informatics,"[1, 2]"
57,ACE5413,Consulting as an Advanced Communication & Career Skill,"[1, 2]"
58,ACE5414,International Culture & Communication Study Experience,"[3, 4]"
59,ACE5480,Topics in Arts and Cultural Entrepreneurship,[2]
60,AH2101,Introduction to Art History,"[1, 2]"
61,AH2201,Chinese Painting: Styles and Masters,[1]
62,AH2203,"Empire and Art: India, Singapore, Malaya",[2]
63,AH2204,"Art in Southeast Asia, 4th-14th centuries CE",[2]
64,AH3204,Methods and Approaches to Art History,[1]
65,AH3205,Southeast Asian Art and Modernity,[1]
66,AH3550,Art History Internship,"[3, 4]"
67,ALS1010,Learning to Learn Better,[1]
68,AN1101E,Anthropology & Human Condition,"[1, 2]"
69,AN2101,Research Methods in Anthropology,[1]
70,AN2203,Peoples and Cultures of Southeast Asia,[2]
71,AN2204,Media Anthropology,[2]
72,AN2205,Food and Foodways,"[1, 4]"
73,AN2206,Humans and Natures,[2]
74,AN3101,Anthropology and Theory,[1]
75,AN3203,Cultures of Kinship,[1]
76,AN3207,Senses and Society,[2]
77,AN3208,Critiquing Development,[2]
78,AN3209,Anthropology of Technology,[1]
79,AN3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
80,AN4201,"Cultural Production: Power, Voice, Policies",[2]
81,AN4202,"Gender, Sex and Power",[1]
82,AR1101,Design I,[1]
83,AR1101A,"Design 1: Seeing, Thinking, Making",[1]
84,AR1102,Design 2,[2]
85,AR1328A,Architectural Materials and Construction,[2]
86,AR1329,"Climate, Ecology & Architecture",[2]
87,AR2101,Design 3,[1]
88,AR2102,Design 4,[2]
89,AR2225,Reading Visual Images,"[1, 2]"
90,AR2227,History & Theory of Architecture I,[2]
91,AR2228,History & Theory of Architecture II,[1]
92,AR2328,Architectural Tectonics and Structural Systems,[1]
93,AR2328A,Architectural Tectonics and Structural Systems,[1]
94,AR2522,Computational Thinking: Performance Based Design,[1]
95,AR2524,Spatial Computational Thinking,[2]
96,AR3101,Design 5,[1]
97,AR3102,Design 6,[2]
98,AR3223,Introduction to Urbanism,[1]
99,AR3722,Sustainable Environmental System,[2]
100,AR4002,Advanced Architectural Study 2,[2]
101,AR4421,Architecture Internship Programme,"[1, 2]"
102,AR4955,Topics in Architectural Design,[1]
103,AR5011,Research Methodology,"[1, 2]"
104,AR5221,Contemporary Theories,[2]
105,AR5321,Advanced Architectural Integration,[2]
106,AR5323,Well & Green Built Environment,"[1, 2]"
107,AR5423,Architectural Practice,"[1, 2]"
108,AR5601,Urban Design Theory and Praxis,"[1, 2]"
109,AR5666,Industrial Attachment,"[1, 2]"
110,AR5770,Graduate Seminar,[1]
111,AR5801,Options Design Research Studio 1,"[1, 2]"
112,AR5802,Options Design Research Studio 2,"[1, 2]"
113,AR5805,Advanced Architecture Studio,[1]
114,AR5806,Architectural Design Research Report,[1]
115,AR5807,Architectural Design Thesis,"[1, 2]"
116,AR5951E,Topics in History & Theory of Architecture 5,[1]
117,AR5951F,Topics in History & Theory of Architecture 6,[1]
118,AR5951G,Topics in History and Theory of Architecture 7,[1]
119,AR5951H,Topics in History and Theory of Architecture 8,[1]
120,AR5952F,Topics in Urbanism 6,[1]
121,AR5952H,Topics in Urbanism 8,[1]
122,AR5952J,Topics in Urbanism 10,[1]
123,AR5952K,Topics in Urbanism 11,[1]
124,AR5952L,Topics in Urbanism 12,[1]
125,AR5952M,Topics in Urbanism 13,[1]
126,AR5953E,Topics in Design Technology 5,[1]
127,AR5953G,Topics in Design Technology 7,[1]
128,AR5953H,Topics in Design Technology 8,[1]
129,AR5953I,Topics in Design Technology 9,[1]
130,AR5954A,Topics in Landscape Architecture 1,[1]
131,AR5954B,Topics in Landscape Architecture,[1]
132,AR5954C,Topics in Landscape Architecture,[1]
133,AR5955,Topics in Research by Design,[1]
134,AR5955A,Topics in Research by Design 1,[2]
135,AR5955B,Topics in Research by Design 2,[2]
136,AR5955C,Topics in Research by Design 3,[2]
137,AR5955D,Topics in Research by Design 4,[2]
138,AR5955E,Topics in Research by Design 5,[1]
139,AR5955F,Topics in Research by Design 6,[1]
140,AR5955H,Topics in Research by Design 8,[1]
141,AR5956A,Topics in Design and Built Environment 1,"[1, 2]"
142,AR5956B,Topics in Design and Built Environment 2,"[1, 2]"
143,AR5956C,Topics in Design and Built Environment 3,"[1, 2]"
144,AR5956D,Topics in Design and Built Environment 4,"[1, 2]"
145,AR5956E,Topics in Design and Built Environment 5,"[1, 2]"
146,AR5956F,Topics in Design and Built Environment 6,[2]
147,AR5957A,Topics in History and Theory of Architecture 1,[2]
148,AR5957B,Topics in History and Theory of Architecture 2,[2]
149,AR5957C,Topics in History and Theory of Architecture 3,[2]
150,AR5958A,Topics in Urbanism 1,"[1, 2]"
151,AR5958B,Topics in Urbanism 2,"[1, 2]"
152,AR5958C,Topics in Urbanism 3,[2]
153,AR5958D,Topics in Urbanism 4,[2]
154,AR5958E,Topics in Urbanism 5,[2]
155,AR5959,Topics in Design Technology,[2]
156,AR5959A,Topics in Design Technology 1,[2]
157,AR5959B,Topics in Design Technology 2,[2]
158,AR5959C,Topics in Design Technology 3,[2]
159,AR6770,Phd Seminar,[1]
160,ASP1201CH,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
161,ASP1201EC,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
162,ASP1201EN,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
163,ASP1201GE,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
164,ASP1201HY,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
165,ASP1201MS,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
166,AUD5114,Electrophysiological Assessment B,[1]
167,AUD5216,Vestibular Assessment and Management B,[1]
168,AUD5217,Hearing Devices and Rehabilitation B (Part 1),[1]
169,AUD5218,Clinical Audiology B (Part 1),[1]
170,AUD5219,Paediatric Audiology B - Part 1,[1]
171,AUD5220,Independent Studies in Audiology (Research project - part 1),[1]
172,AUD5221,Hearing Devices and Rehabilitation B (Part 2),[2]
173,AUD5222,Clinical Audiology B (Part 2),[2]
174,AUD5223,Paediatric Audiology B - Part 2,[2]
175,AUD5224,Independent Studies in Audiology (Research project - part 2),[2]
176,BAA6001C,Foundation of Empirical Research in Accounting,[1]
177,BAA6001D,An Interdisciplinary Approach to Accounting and Sustainability,[1]
178,BAA6002A,Capital Market Tax Research,[2]
179,BAA6002B,Banking Research,[2]
180,BBP6781,Theory of Strategic Management,[2]
181,BDC6112,Stochastic Processes I,[1]
182,BDC6223,DAO Proseminar,[2]
183,BDC6305,Theory and Algorithms for Dynamic Programming,[2]
184,BHD4001,Honours Dissertation,"[1, 2]"
185,BI3000,Non-Credit Bearing Business Internship,"[2, 3, 4]"
186,BI3001A,Business Internship I,"[1, 2]"
187,BI3001B,Business Internship I,[1]
188,BI3001C,Business Internship I,[1]
189,BI3002A,Business Internship II,[1]
190,BI3002B,Business Internship II,[1]
191,BI3003,Work Experience Internship,"[1, 2, 3, 4]"
192,BI3003A,Work Experience Internship,"[1, 2]"
193,BI3003B,Work Experience Internship,"[1, 2]"
194,BI3003C,Work Experience Internship,"[1, 2]"
195,BI3003D,Work Experience Internship,[1]
196,BI3704A,Business Internship I,"[1, 2, 3, 4]"
197,BI3704B,Business Internship I,"[1, 2, 3, 4]"
198,BI3704C,Business Internship I,"[1, 2, 3, 4]"
199,BI3704D,Business Internship I,"[1, 2, 3, 4]"
200,BI3704R,Business Internship I,"[1, 2, 3, 4]"
201,BI3708A,Business Internship II,"[1, 2, 3, 4]"
202,BI3708B,Business Internship II,"[1, 2, 3, 4]"
203,BI3708R,Business Internship II,"[1, 2, 3, 4]"
204,BI3712A,Business Internship III,"[1, 2, 3, 4]"
205,BI3712B,Business Internship III,"[1, 2, 3, 4]"
206,BI3712R,Business Internship III,"[1, 2, 3, 4]"
207,BIH5001,Fundamentals of Behavioural and Implementation Sciences,[1]
208,BIH5002,Evidence-informed Practice and Policies in Healthcare,[2]
209,BIH5003,Master’s Project I,"[1, 2]"
210,BIH5004,Behavioural Decision Sciences,[1]
211,BIH5005,Introductory Research Methods in Behavioural and Implementation Sciences,[1]
212,BIH5101,Intermediate Research Methods for Behavioural and Implementation Sciences,[1]
213,BIH5102,Intermediate Behavioural and Implementation Sciences,[2]
214,BIH5103,Programme Evaluation in Health,[1]
215,BIH5104,Master’s Project II,[2]
216,BIH5105,Advanced Applications of Behavioural and Implementation Sciences,[2]
217,BIH5106,Advanced Research Methods for Behavioural and Implementation Sciences - Complex Intervention Design,[2]
218,BIS3001,Independent Study Course in Business,"[1, 2]"
219,BIS3001A,Independent Study Course in Business,[1]
220,BL5102,Environmental Science,"[1, 2]"
221,BL5198,Graduate Seminar Course in Biological Sciences,"[1, 2, 3]"
222,BL5199,Research Project in Conservation and Nature-based Climate Solutions,"[1, 2, 3, 4]"
223,BL5201,Structural Biology And Proteomics,[1]
224,BL5202A,Biophysical Methods in Life Sciences,[2]
225,BL5210,Biogeography and Global Change,[2]
226,BL5213,Protein Design & Engineering,[2]
227,BL5214,Advanced Proteins Nmr,[1]
228,BL5215,Macromolecular X-Ray Crystallography,[1]
229,BL5216,Advanced Genetics and Genome Sciences,[2]
230,BL5217,Population Genomics and Phylogenomics,[1]
231,BL5218,Directed Studies in Behavioural Ecology,[2]
232,BL5220,Advanced Animal Development,[2]
233,BL5221,Plant and Microbial Development,[2]
234,BL5222,Cellular Mechanisms,[1]
235,BL5223,Advanced Molecular Genetics,[1]
236,BL5224,Signalling Mechanisms in Cancers and Metabolic Diseases,[2]
237,BL5225,Marine Conservation,[2]
238,BL5230,Biological Invasions,[1]
239,BL5232,Introduction to Bioimaging,[2]
240,BL5232A,Practical Bioimaging A: Electron Microscopy,[3]
241,BL5232B,Practical Bioimaging B: Light Microscopy,[3]
242,BL5232C,Practical Bioimaging C: Hands-on Microscopy,[3]
243,BL5233,Data Analysis for Conservation Biology with R,"[1, 2]"
244,BL5234,Quantitative Methods and Critical Thinking in Biology,[2]
245,BL5236,Introduction to Electron Microscopy for Life Sciences,[1]
246,BL5237,"Computational Biology: Sequences, Structures, Functions",[3]
247,BL5239,Science and Communication,[1]
248,BL5240,Skills for Research Survival and Excellence,[3]
249,BL5299,Internship in Conservation and Nature-based Climate Solutions,"[1, 2, 3, 4]"
250,BL5301,Conservation Problems and Practice,[1]
251,BL5302,Climate Change Solutions,[2]
252,BL5311,Freshwater Conservation,[1]
253,BL5312,Natural History Collections and Conservation,[2]
254,BL5313,Food Security and Sustainability,"[1, 2]"
255,BL5322,Field Techniques in Biological Conservation,[1]
256,BL5323,Spatial modelling for environmental sustainability,[2]
257,BL5324,Ecological Perspectives on Global Change,[1]
258,BL5331,Sustainability Science,[2]
259,BL5601,Case Studies in Biotechnology,"[1, 2]"
260,BL5602,Genetic Engineering in Biotechnology,[1]
261,BL5611,Advanced and Current Topics in Drug Development,[2]
262,BL5623,Infectious Diseases and Host-Pathogen Interactions,[2]
263,BL5631,Practical Analysis of Genomic Data using R,[1]
264,BL5632,Genomic Data Science in the Cloud,[2]
265,BL5642,CRISPR & Precision Gene Editing Technologies,[2]
266,BL5643,Applications of Industrial Biotechnology,[2]
267,BL5661,Urban Agriculture and Crop Biotechnology,[1]
268,BL5662,Biotechnology in Aquaculture,[2]
269,BL5690,Internship Project in Biotechnology,"[1, 2, 3, 4]"
270,BL5699,Capstone Project in Biotechnology,"[1, 2, 3, 4]"
271,BL5699R,Capstone Project in Biotechnology,"[1, 2, 3, 4]"
272,BLD3002,CEOs as Leaders,[1]
273,BLD3004,Topics in Leadership Development,[1]
274,BMA5001,Managerial Economics,"[1, 2]"
275,BMA5002,Analytics For Managers,[2]
276,BMA5002A,Topics In Analytics For Managers,[2]
277,BMA5003,Financial Accounting,[1]
278,BMA5008,Financial Management,"[1, 2]"
279,BMA5009,Marketing Strategy,"[1, 2]"
280,BMA5011,Macroeconomics in the Global Economy,[1]
281,BMA5013,Corporate Strategy,"[1, 2, 3]"
282,BMA5016,Leading with Impact,"[1, 2]"
283,BMA5017,Managerial Operations and Analytics,"[1, 2]"
284,BMA5102,Legal Issues in Business,[3]
285,BMA5104,Global Strategic Management,[1]
286,BMA5112,Asian Business Environments,[2]
287,BMA5112A,Topics in Asian Business Environment,[2]
288,BMA5118A,Special Topics in Strategy and Policy: Sustainability Strategy,[2]
289,BMA5128,Venture Capital,[4]
290,BMA5134,Entrepreneurial Management,[3]
291,BMA5136,A Consulting Toolkit For Strategic Decision-Making,[4]
292,BMA5137,Strategic Leadership,[4]
293,BMA5138,Digital Business Transformation,[3]
294,BMA5236,Global Operations Strategy,[2]
295,BMA5271,"Leadership in Supply Chain, Operations & Sustainability",[3]
296,BMA5275,Analytics in Managerial Economics,[2]
297,BMA5278,Business Insights through Industry Analysis,[1]
298,BMA5302,Investment Analysis and Management,[2]
299,BMA5302A,Investment Analysis & Management,[2]
300,BMA5309,Fund Management,[4]
301,BMA5313,Venture Capital and Private Equity,[1]
302,BMA5313A,Valuation and Mergers & Acquisitions,[2]
303,BMA5314,Entrepreneurial Finance,[1]
304,BMA5323,Applied Portfolio Management,[2]
305,BMA5334,Technological Innovations and Disruptions in Finance,[2]
306,BMA5335,Digital Assets and Blockchain in Finance,[1]
307,BMA5336,Sustainability Risk Management,[1]
308,BMA5337,Sustainability Reporting and Analysis,[2]
309,BMA5337A,Topic in Sustainability Reporting and Analysis,[2]
310,BMA5338,"Sustainable Web3, Generative AI and Metaverse",[4]
311,BMA5339,Fundamental Equity Research,[4]
312,BMA5404,Entrepreneurship & Innovation,[1]
313,BMA5406,Negotiations and Conflict Management,[1]
314,BMA5424,Corporate Entrepreneurship and Business Model Evaluation,[2]
315,BMA5425,Social Entrepreneurship,[3]
316,BMA5429,Mastering Influence,[2]
317,BMA5431,AI for Talent Management and Organizational Design,[1]
318,BMA5432,Managing People with Data,[2]
319,BMA5432A,Topic in Managing People with Data,[2]
320,BMA5502,Understanding & Influencing Consumers,[2]
321,BMA5505,Service Management,[1]
322,BMA5506,Product & Brand Management,[3]
323,BMA5524,Marketing Analytics,[1]
324,BMA5528,Business to Business Marketing,[2]
325,BMA5528A,Topics in Business-to-Business Marketing,[2]
326,BMA5533,Digital Marketing,[4]
327,BMA5539,Social Purpose Marketing,[1]
328,BMA5701,Independent Study Course,[1]
329,BMA5801,Launch Your Transformation,[1]
330,BMA5803,C-Suite Life,"[1, 2]"
331,BMA5805,Structured Problem Solving to Open-ended Management Priorities,[1]
332,BMA5901,MBA Consulting Project,"[1, 2]"
333,BMA5903,MBA Internship,"[1, 2]"
334,BMA5904A,NUS-QUT-MIT-University of Auckland Collaboration Sprint: An Immersion Program,[1]
335,BMA5905,Entrepreneurship Practicum in Healthcare Innovation,[1]
336,BMC5021,"Leadership: exploration, assessment & development",[2]
337,BMC5022,Strategy,[1]
338,BMC5023,Business analytics and decision making,"[1, 2]"
339,BMC5024,Asia and global economy,[1]
340,BMC5026,Marketing strategy,[1]
341,BMC5027,Accounting and information management,[1]
342,BMC5029,"Value chains, logistics and operations",[1]
343,BMC5030,Governance and sustainable business,[1]
344,BMC5032,Economic analysis for managers,[2]
345,BMC5034,Special topics 1: Technology and business frontiers,[1]
346,BMC5035M,Methodology and Practice,[2]
347,BMC5036,Corporate finance,"[1, 2]"
348,BMC5038,Managing organizations and change,"[1, 2]"
349,BMC5118,Winning Strategy for Emerging Asia,[2]
350,BMC5130,Governance and sustainable business,"[1, 2]"
351,BMC5203,Corporate Innovation in Big Data and AI Era,[2]
352,BMC5231,"Technology, innovation and entrepreneurship",[1]
353,BMC5305,Sustainable and Green Finance in Asia,[2]
354,BMC5306,Blockchain Applications in Finance,"[2, 3]"
355,BMC5411,Negotiation Strategies and Skills,"[2, 3]"
356,BMC5415,Managing Human Capital Today,[3]
357,BMC5501,Service Management,[2]
358,BMC5502,Social Purpose Marketing,[2]
359,BMC5707,Real Estate Finance and Securitization,[2]
360,BMC5815,Singapore Governance's Success,"[2, 3]"
361,BMC5834,Technology and business frontiers,[1]
362,BMC5836,Risk Management for Business Leaders,[2]
363,BMC5837,Business Acumen for Challenging Times,[2]
364,BMC5838,Navigating Global Mkts: An Entrepreneur's guide to IND,[2]
365,BMC5839,"Navigating Change: Strategy, Tech & Global Leadership",[3]
366,BMD5301,Introduction to Finance for FinTech Professionals,[1]
367,BMD5302,Financial Modelling for FinTech Professionals,[2]
368,BME5040,Business Analytics and Decision Making,"[1, 2]"
369,BME5041,"Value Chains, Logistics and Operations",[3]
370,BME5042,Accounting and Information Management,"[1, 3]"
371,BME5043,Financial Management,[2]
372,BME5046,Managing Organisations,[1]
373,BME5049,Marketing Strategy,"[2, 3]"
374,BME5050,Asia and the Global Economy,[3]
375,BME5051,Economic Analysis for Managers,"[1, 3]"
376,BME5054,Strategy,"[1, 2]"
377,BME5058,Leadership in the Era of Disruption,[3]
378,BME5101,Sustainability Reporting and ESG Investing,[2]
379,BME5102,Winning Strategy in Asia,[3]
380,BME5105,International Business and Internationalization,[1]
381,BME5106,ESG Strategies and Corporate Governance,[3]
382,BME5107,Futures Thinking and Scenario Planning,[3]
383,BME5109,Contracts: Understanding Terms and Managing Risks,[3]
384,BME5201,Analytics for Leaders,[1]
385,BME5202,Opportunities in AI,[1]
386,BME5301,Blockchain Applications in Finance,[3]
387,BME5302,Investment Management,[1]
388,BME5401,Future of Work,[3]
389,BME5403,Corporate Innovation & Intrapreneurship,[1]
390,BME5404,"Communications, Influence and Negotiations",[2]
391,BME5501,Service Management,[1]
392,BMF5321,Financial Modelling,[1]
393,BMF5322,Introduction to Finance,[1]
394,BMF5323,Accounting for Finance Professionals,[1]
395,BMF5324,Statistics and Analytics in Finance,[1]
396,BMF5331,Applied Corporate Finance,[2]
397,BMF5332,Foundation of Investments,[2]
398,BMF5333,Options and Fixed Income,[2]
399,BMF5334,International Finance and Economics,[2]
400,BMF5342,Financial Technology and Analytics,[1]
401,BMF5343,Banks and Non-Traditional Financial Intermediaries,[1]
402,BMF5344,Financial Statement Analysis and Value Investing,[1]
403,BMF5346A,Venture Capital and Private Equity,[1]
404,BMF5346B,Venture Capital and Private Equity,[1]
405,BMF5351,Household Finance,[1]
406,BMF5354,Financial Regulation in a Digital Age,[1]
407,BMF5355,Financial Systems and Technologies,[1]
408,BMF5356,Applied Financial Risk Management,[1]
409,BMF5357,Sustainable Investment,[1]
410,BMF5358,Fintech Venture Creation,[1]
411,BMF5359,Valuation and Mergers & Acquisitions,[1]
412,BMF5360,Applied Machine Learning in Investments,[1]
413,BMF5362,Sustainability Risk Management,[1]
414,BMF5363,Fund Management,[1]
415,BMF5391A,Experiential Learning: Individual Internship,"[1, 2, 3, 4]"
416,BMF5391B,Experiential Learning: Corporate Consultancy Project,"[1, 3, 4]"
417,BMF5391C,Experiential Learning: Applied Faculty Project,"[1, 2]"
418,BMF5393A,Experiential Learning: Advanced Individual Internship,"[1, 2, 3, 4]"
419,BMG5101,Foundational Corporate Finance,"[1, 2]"
420,BMG5102,Foundational Investments,[1]
421,BMG5103,Corporate Governance and Sustainability,[2]
422,BMG5104,Economics of Sustainability,[1]
423,BMG5201,Impact Assessment and Impact Investing,[2]
424,BMG5202,Sustainable and Green Investment,"[2, 3]"
425,BMG5203,Sustainability Risk Management,[2]
426,BMG5204,Sustainable Household Finance,[1]
427,BMG5205,Carbon Accounting and Sustainability Reporting,[2]
428,BMG5206,Sustainability in Supply Chain,[1]
429,BMG5301,Sustainable and Green Capstone Project A,[2]
430,BMG5302,Sustainable and Green Capstone Project B,"[3, 4]"
431,BMH5101,Quantitative Methods for HR,[2]
432,BMH5102,Talent Assessment & Selection,[1]
433,BMH5103,People Analytics,[2]
434,BMH5104,Artificial Intelligence for HR,[2]
435,BMH5105,Communication for HR Professionals,[2]
436,BMH5106,HR Technology,[2]
437,BMH5107,Leading and Managing Difficult Employees,[1]
438,BMH5108,Labour and Employment Law,[1]
439,BMH5109,Talent Management,[2]
440,BMH5110,Compensation and Performance Management,[1]
441,BMH5111,HR as Strategic Partner for Growth & Transformation,[1]
442,BMH5112,Negotiation & Dispute Resolution,[1]
443,BMH5113,Ethics in Human Resources,[1]
444,BMH5301,Experiential Learning: Individual Internship,"[2, 3, 4]"
445,BMH5302,Experiential Learning: Faculty Research Project,"[2, 3, 4]"
446,BMH5303,Experiential Learning: HR Consultancy Project,"[2, 3, 4]"
447,BMH5401,Independent Study Course in Human Capital Management and Analytics,[2]
448,BMI1101A,Digital Literacy for Healthcare,[2]
449,BMI5101,Advanced Biomedical Informatics,[1]
450,BMI5101B,Advanced Biomedical Informatics,[1]
451,BMI5102,Health Sciences for Non-Clinicians,[1]
452,BMI5106,Clinical Decision Support Systems,[2]
453,BMI5107,Advanced Evidence Based Patient Care,[2]
454,BMI5108,Advanced Value Based Healthcare,[1]
455,BMI5110,Molecular Informatics,[2]
456,BMI5111,Capstone Project,"[1, 2]"
457,BMI5201,Advanced Clinical Data Systems,[2]
458,BMI5206,Advanced Human Factors Engineering,[2]
459,BMI5207,Medical Data and Data Processing,[1]
460,BMI5306,Advanced Agile Project Management,[1]
461,BMK5100,Marketing Analytics,[1]
462,BMK5101,Digital Marketing,[1]
463,BMK5102,Big Data in Marketing,[1]
464,BMK5103,Consumer Insights,[2]
465,BMK5104,Marketing Analytics Visualisation and Communications,[2]
466,BMK5200,Pricing Analytics,[2]
467,BMK5201,Customer Relationship Management,[2]
468,BMK5202,Python Programming for Business Analytics,"[1, 2]"
469,BMK5203,Research for Marketing Insights,[1]
470,BMK5204,Marketing Strategy,[1]
471,BMK5206A,Personal Selling & Sales Management,[2]
472,BMK5207,AI in Marketing,[2]
473,BMK5209,Product and Brand Management,[1]
474,BMK5210,Independent Study Course in Marketing Analytics,[1]
475,BMK5300A,Experiential Learning: Industry Internship,"[1, 3, 4]"
476,BMK5300B,Experiential Learning: Marketing Analytics Consultancy Project,[1]
477,BMK5300D,Marketing Venture Challenge,[1]
478,BMK6111W,Behavioral Response to Price,[2]
479,BMO6012A,Organizational Behavior Seminar: Interpersonal Relations,[1]
480,BMO6024,Seminar in Human Resource Management,[2]
481,BMO6029,Psychology of Technology,[2]
482,BMO6030A,Foundations of Organisational Behavior,[1]
483,BMP5000,JUMPSTART Programme,[1]
484,BMP5100,Economic Analysis for Strategic Decisions,[1]
485,BMP5101,Innovation Strategy,[1]
486,BMP5102,Executing Strategy for Results,[1]
487,BMP5103,Strategic Sustainability,[1]
488,BMP5105,Strategy for an Interlinked World,[2]
489,BMP5106,Strategy for High Performance in Digital Firms,[2]
490,BMP5107,Business Model Innovation in Asia,[2]
491,BMP5201,Leveraging Disruptive Technologies,[1]
492,BMP5202,Global Macroeconomic Playbook,[1]
493,BMP5300,Business Project,"[2, 3]"
494,BMS5107,Ethical Leadership and Corporate Strategy,[1]
495,BMS5110,Managerial Economics,[1]
496,BMS5112,Global Strategic Management,[1]
497,BMS5114,Asian Business Environment,[2]
498,BMS5118,Competing Globally,[3]
499,BMS5120,Innovation and Strategies for Emerging Markets,[2]
500,BMS5121,Digital Transformation: Planning and Management,[1]
501,BMS5121S,Digital Transformation & Strategy,[2]
502,BMS5122,Legal Fundamentals for Entrepreneurs and Managers,[2]
503,BMS5123S,Entrepreneurship Business Development,[1]
504,BMS5124,Entrepreneurial Management,[2]
505,BMS5124S,Entrepreneurial Management,[2]
506,BMS5125,Sustainability Strategy,[2]
507,BMS5127,Management of Technological Innovation,[2]
508,BMS5128,Entrepreneurship Green Venture Business Funding,[2]
509,BMS5129,Applied Sustainability: A Systems Perspective,[1]
510,BMS5205,Business Analytics,[2]
511,BMS5211,Strategies for Operational Excellence,[1]
512,BMS5305,Entrepreneurial Finance,[1]
513,BMS5307,Financial Markets and Institutions,"[1, 2]"
514,BMS5311,Corporate Finance,[2]
515,BMS5405S,New Venture Creation,[1]
516,BMS5410,Negotiation and Conflict Management,[1]
517,BMS5411,Judgment and Decision Making Under Uncertainty,[1]
518,BMS5412,Global Leadership,[2]
519,BMS5413,Negotiations & Influence,[2]
520,BMS5415,Designing Organisations with Data,[2]
521,BMS5416,Managing Across Cultures,[1]
522,BMS5418,Corporate Entrepreneurship,[1]
523,BMS5419,Managing for Human Sustainability,[2]
524,BMS5503,Pricing,[2]
525,BMS5504,Marketing Analytics Visualisation and Communication,"[1, 3]"
526,BMS5505,Digital Marketing,[1]
527,BMS5508,Design Thinking & Business Innovations,[1]
528,BMS5515,Personal Selling and Sales Management,[1]
529,BMS5516,Customer Centricity and Brand Alignment,[2]
530,BMS5519,Services Marketing,[2]
531,BMS5520,Research for Marketing Insights,[1]
532,BMS5521,Managing Disruption,[1]
533,BMS5522,AI in Marketing,[2]
